,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
6205,462166,Male,Yes,26,Yes,Artist,0.0,Low,2.0,Cat_1,C
6325,461796,Male,Yes,39,Yes,Artist,1.0,Average,2.0,Cat_1,A
6524,460623,Male,Yes,41,Yes,Executive,5.0,Low,2.0,Cat_1,A
6610,463254,Female,Yes,37,No,Executive,0.0,High,2.0,Cat_1,A
6709,464624,Male,No,39,Yes,Entertainment,3.0,Low,2.0,Cat_1,A
6751,461467,Female,Yes,73,Yes,Lawyer,3.0,High,2.0,Cat_1,A
7163,467168,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_1,B
7196,466000,Male,Yes,38,Yes,Doctor,5.0,Low,2.0,Cat_1,A
7212,460053,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
7353,466684,Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_1,C
7445,463985,Female,Yes,29,Yes,Artist,4.0,Low,2.0,Cat_1,D
7539,459507,Male,Yes,69,No,Lawyer,4.0,High,2.0,Cat_1,D
7660,460854,Female,No,22,No,Marketing,1.0,Low,2.0,Cat_1,D
7716,459891,Male,Yes,49,Yes,Doctor,1.0,Average,2.0,Cat_1,A
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
403,461475,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1,C
434,461115,Female,Yes,32,No,Engineer,5.0,Low,3.0,Cat_1,A
605,459335,Male,No,26,Yes,Healthcare,5.0,Low,3.0,Cat_1,D
702,465368,Male,No,18,No,Healthcare,7.0,Low,3.0,Cat_1,D
786,460311,Male,No,25,Yes,Entertainment,2.0,Low,3.0,Cat_1,D
1120,462095,Male,Yes,49,Yes,Entertainment,1.0,Average,3.0,Cat_1,A
1362,460989,Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_1,D
1431,462186,Female,No,21,No,Doctor,0.0,Low,3.0,Cat_1,D
2254,463440,Female,Yes,73,Yes,Artist,0.0,Average,3.0,Cat_1,C
2329,464711,Female,Yes,38,Yes,Artist,7.0,Average,3.0,Cat_1,B
2463,466452,Female,No,33,Yes,Engineer,0.0,Low,3.0,Cat_1,D
2926,466615,Female,No,20,No,Healthcare,3.0,Low,3.0,Cat_1,D
2989,466838,Male,Yes,41,No,Executive,0.0,Low,3.0,Cat_1,D
3211,463414,Male,Yes,25,No,Executive,0.0,High,3.0,Cat_1,A
4752,463400,Female,No,20,No,Healthcare,8.0,Low,3.0,Cat_1,D
4926,463321,Male,No,22,No,Healthcare,1.0,Low,3.0,Cat_1,D
5022,462902,Male,Yes,46,No,Executive,1.0,Average,3.0,Cat_1,C
5652,465734,Male,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_1,A
6147,461922,Male,Yes,70,No,Lawyer,0.0,High,3.0,Cat_1,B
6592,459095,Male,Yes,35,No,Entertainment,9.0,Low,3.0,Cat_1,A
7036,463020,Male,Yes,31,Yes,Artist,0.0,Average,3.0,Cat_1,D
7280,467498,Male,Yes,56,Yes,Lawyer,0.0,Low,3.0,Cat_1,D
7736,462821,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_1,D
35,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
586,461608,Female,Yes,56,Yes,Executive,8.0,High,4.0,Cat_1,A
835,459599,Female,No,19,No,Healthcare,8.0,Low,4.0,Cat_1,D
1894,464713,Female,Yes,71,Yes,Artist,0.0,High,4.0,Cat_1,B
3419,465259,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_1,D
3428,463848,Male,Yes,48,Yes,Artist,1.0,Average,4.0,Cat_1,C
3449,460261,Female,Yes,58,Yes,Lawyer,1.0,High,4.0,Cat_1,C
3527,463569,Female,Yes,59,No,Marketing,1.0,Average,4.0,Cat_1,D
4012,462876,Male,No,27,No,Doctor,0.0,Low,4.0,Cat_1,D
4096,461082,Male,No,23,No,Healthcare,8.0,Low,4.0,Cat_1,D
4252,467743,Male,Yes,48,No,Executive,1.0,High,4.0,Cat_1,B
4264,465261,Female,No,21,Yes,Healthcare,0.0,Low,4.0,Cat_1,D
5045,459616,Female,No,21,No,Healthcare,0.0,Low,4.0,Cat_1,D
5173,461691,Male,No,31,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
5415,460264,Female,Yes,35,Yes,Entertainment,0.0,Low,4.0,Cat_1,A
5968,460130,Male,No,27,Yes,Healthcare,2.0,Low,4.0,Cat_1,A
6348,466585,Male,No,18,No,Marketing,1.0,Low,4.0,Cat_1,D
6689,464230,Male,No,33,No,Engineer,0.0,Low,4.0,Cat_1,D
6715,464129,Male,Yes,52,Yes,Executive,1.0,High,4.0,Cat_1,C
6886,459521,Female,Yes,46,Yes,Artist,0.0,Average,4.0,Cat_1,A
6887,465772,Female,Yes,53,Yes,Engineer,0.0,Low,4.0,Cat_1,B
7161,459745,Male,Yes,47,No,Artist,0.0,Low,4.0,Cat_1,A
7182,465186,Female,Yes,38,No,Artist,4.0,Average,4.0,Cat_1,C
7586,459367,Female,No,22,No,Doctor,11.0,Low,4.0,Cat_1,D
478,460056,Male,No,30,Yes,Healthcare,3.0,Low,5.0,Cat_1,C
866,460950,Male,Yes,28,No,Doctor,0.0,Low,5.0,Cat_1,D
971,463729,Female,No,32,No,Artist,0.0,Low,5.0,Cat_1,B
1946,462683,Female,Yes,38,No,Engineer,1.0,Low,5.0,Cat_1,B
2345,460639,Female,Yes,73,Yes,Lawyer,1.0,Low,5.0,Cat_1,D
2395,467027,Male,No,31,No,Executive,4.0,Low,5.0,Cat_1,D
4381,462242,Female,No,30,Yes,Entertainment,0.0,Low,5.0,Cat_1,D
4526,465456,Female,Yes,59,Yes,Artist,3.0,High,5.0,Cat_1,B
4919,463890,Female,No,28,No,Artist,1.0,Low,5.0,Cat_1,A
5004,463922,Female,No,32,No,Healthcare,2.0,Low,5.0,Cat_1,C
5225,467906,Female,No,33,No,Healthcare,0.0,Low,5.0,Cat_1,D
5879,466579,Male,No,21,No,Marketing,0.0,Low,5.0,Cat_1,D
7178,463607,Female,No,29,Yes,Engineer,1.0,Low,5.0,Cat_1,B
8001,466860,Male,No,21,No,Marketing,0.0,Low,5.0,Cat_1,C
498,459656,Male,No,22,No,Engineer,1.0,Low,6.0,Cat_1,D
2335,464641,Female,Yes,65,Yes,Lawyer,2.0,Low,6.0,Cat_1,D
2960,461407,Female,No,32,Yes,Marketing,8.0,Low,6.0,Cat_1,A
3447,465599,Female,Yes,47,Yes,Healthcare,0.0,Average,6.0,Cat_1,C
3786,462550,Female,No,23,No,Healthcare,2.0,Low,6.0,Cat_1,D
3986,459091,Male,Yes,67,Yes,Artist,0.0,Average,6.0,Cat_1,B
8063,464018,Male,No,22,No,Lawyer,0.0,Low,7.0,Cat_1,D
2666,467401,Male,Yes,72,No,Entertainment,0.0,Average,7.0,Cat_1,C
2929,459565,Male,No,47,Yes,Entertainment,2.0,Low,7.0,Cat_1,A
3691,464269,Male,No,37,Yes,Entertainment,0.0,Low,7.0,Cat_1,A
5338,459557,Female,No,29,No,Entertainment,1.0,High,7.0,Cat_1,D
6109,466821,Male,No,30,Yes,Healthcare,0.0,Low,7.0,Cat_1,D
6734,464741,Male,Yes,71,No,Executive,1.0,High,7.0,Cat_1,A
7181,465907,Female,No,25,Yes,Marketing,8.0,Low,7.0,Cat_1,D
7338,459351,Female,Yes,57,Yes,Artist,0.0,High,7.0,Cat_1,C
7493,459783,Female,Yes,18,No,Artist,0.0,High,7.0,Cat_1,B
151,467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
284,466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
323,459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
549,466369,Female,No,38,No,Homemaker,5.0,Low,1.0,Cat_2,B
825,467446,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_2,A
919,465225,Male,No,48,Yes,Engineer,0.0,Low,1.0,Cat_2,A
1336,461892,Female,No,35,Yes,Healthcare,0.0,Low,1.0,Cat_2,D
1435,459965,Male,No,25,Yes,Artist,7.0,Low,1.0,Cat_2,A
1870,462175,Female,No,36,Yes,Homemaker,9.0,Low,1.0,Cat_2,A
1993,461372,Male,No,27,Yes,Artist,3.0,Low,1.0,Cat_2,A
2096,459145,Male,Yes,88,No,Lawyer,3.0,Low,1.0,Cat_2,A
2307,466456,Female,Yes,43,No,Doctor,9.0,Low,1.0,Cat_2,A
2902,465714,Female,Yes,63,Yes,Artist,1.0,Low,1.0,Cat_2,C
2991,466170,Male,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_2,C
3126,466368,Male,No,37,Yes,Doctor,1.0,Low,1.0,Cat_2,B
3137,461810,Female,Yes,62,Yes,Homemaker,1.0,Low,1.0,Cat_2,B
3167,462145,Female,No,39,Yes,Homemaker,10.0,Low,1.0,Cat_2,D
3320,466029,Female,No,28,No,Executive,0.0,Low,1.0,Cat_2,A
3560,464151,Male,No,40,Yes,Doctor,12.0,Low,1.0,Cat_2,D
3920,467849,Female,Yes,40,Yes,Doctor,0.0,Low,1.0,Cat_2,A
4028,461354,Female,No,63,No,Entertainment,0.0,Low,1.0,Cat_2,B
4052,467100,Female,No,42,Yes,Artist,0.0,Low,1.0,Cat_2,B
4145,461061,Female,No,38,Yes,Engineer,3.0,Low,1.0,Cat_2,B
4223,461800,Female,No,36,Yes,Doctor,4.0,Low,1.0,Cat_2,B
4686,463153,Female,No,26,Yes,Homemaker,9.0,Low,1.0,Cat_2,D
4732,465492,Male,Yes,61,No,Entertainment,1.0,Low,1.0,Cat_2,A
4881,462017,Male,No,25,Yes,Entertainment,9.0,Low,1.0,Cat_2,A
4950,465385,Female,No,46,Yes,Artist,5.0,Low,1.0,Cat_2,B
4959,464228,Male,No,29,Yes,Healthcare,1.0,Low,1.0,Cat_2,D
5196,465433,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_2,B
5272,461950,Female,No,40,Yes,Healthcare,1.0,Low,1.0,Cat_2,D
5302,466248,Male,No,41,Yes,Doctor,1.0,Low,1.0,Cat_2,B
5608,459883,Male,No,63,Yes,Artist,0.0,Low,1.0,Cat_2,B
5831,467763,Female,No,48,Yes,Artist,1.0,Low,1.0,Cat_2,B
5911,466668,Female,Yes,49,Yes,Engineer,0.0,Low,1.0,Cat_2,B
6110,466367,Female,No,37,Yes,Doctor,5.0,Low,1.0,Cat_2,B
6118,467812,Male,No,50,Yes,Artist,1.0,Low,1.0,Cat_2,B
6187,463057,Female,No,25,No,Homemaker,1.0,Low,1.0,Cat_2,D
6416,462100,Female,No,40,Yes,Healthcare,0.0,Low,1.0,Cat_2,D
6511,466472,Male,No,38,Yes,Doctor,4.0,Low,1.0,Cat_2,B
6636,466165,Female,No,49,Yes,Artist,0.0,Low,1.0,Cat_2,B
6669,463710,Male,No,49,Yes,Entertainment,0.0,Low,1.0,Cat_2,B
6818,464240,Male,Yes,52,No,Engineer,0.0,Low,1.0,Cat_2,D
7017,462830,Male,No,21,No,Healthcare,0.0,Low,1.0,Cat_2,D
7147,464594,Male,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_2,D
7405,465855,Male,No,42,Yes,Artist,1.0,Low,1.0,Cat_2,A
7572,460145,Female,No,36,Yes,Artist,0.0,Low,1.0,Cat_2,B
7750,466220,Male,No,42,Yes,Doctor,8.0,Low,1.0,Cat_2,B
7945,465843,Female,No,37,Yes,Artist,0.0,Low,1.0,Cat_2,B
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
488,462034,Female,Yes,38,Yes,Artist,9.0,High,2.0,Cat_2,B
595,465990,Male,Yes,48,No,Executive,2.0,High,2.0,Cat_2,D
771,462540,Male,Yes,32,Yes,Entertainment,6.0,Low,2.0,Cat_2,B
863,466299,Female,Yes,40,Yes,Engineer,0.0,Low,2.0,Cat_2,B
900,466304,Female,Yes,70,Yes,Lawyer,1.0,High,2.0,Cat_2,B
1217,464389,Male,Yes,73,Yes,Artist,1.0,High,2.0,Cat_2,C
1356,460220,Female,No,37,Yes,Entertainment,1.0,Low,2.0,Cat_2,D
1373,465628,Male,Yes,49,Yes,Artist,2.0,Low,2.0,Cat_2,A
1461,461915,Male,Yes,51,No,Artist,2.0,Average,2.0,Cat_2,B
1469,465652,Female,Yes,31,No,Marketing,0.0,Low,2.0,Cat_2,D
1692,463705,Female,Yes,37,Yes,Artist,4.0,Average,2.0,Cat_2,C
1824,460028,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_2,D
1971,467488,Female,Yes,38,Yes,Entertainment,11.0,Average,2.0,Cat_2,A
1980,462005,Male,Yes,39,Yes,Artist,0.0,Average,2.0,Cat_2,C
2196,466344,Male,No,43,Yes,Entertainment,0.0,Low,2.0,Cat_2,A
2219,467112,Male,No,43,Yes,Artist,1.0,Low,2.0,Cat_2,B
2606,467563,Male,Yes,39,Yes,Artist,0.0,Average,2.0,Cat_2,C
2634,466254,Male,No,40,Yes,Entertainment,0.0,Low,2.0,Cat_2,A
2707,460790,Female,Yes,42,Yes,Artist,0.0,High,2.0,Cat_2,C
2782,466670,Male,Yes,29,Yes,Healthcare,2.0,Average,2.0,Cat_2,B
2800,466529,Female,Yes,28,Yes,Doctor,0.0,Average,2.0,Cat_2,A
3083,460880,Male,No,42,Yes,Artist,4.0,Low,2.0,Cat_2,A
3263,459021,Male,Yes,45,Yes,Artist,7.0,Low,2.0,Cat_2,A
3344,461048,Male,Yes,33,Yes,Doctor,10.0,Average,2.0,Cat_2,D
3348,461565,Male,Yes,51,Yes,Entertainment,4.0,Average,2.0,Cat_2,C
3505,460001,Male,Yes,41,Yes,Artist,4.0,Average,2.0,Cat_2,A
3701,462009,Female,Yes,32,Yes,Healthcare,8.0,High,2.0,Cat_2,A
3831,467445,Male,Yes,31,No,Doctor,8.0,Low,2.0,Cat_2,A
4031,461661,Female,Yes,37,Yes,Artist,7.0,Average,2.0,Cat_2,C
4054,459753,Male,Yes,40,Yes,Marketing,7.0,Average,2.0,Cat_2,A
4067,463533,Female,Yes,87,Yes,Artist,1.0,High,2.0,Cat_2,C
4258,464182,Male,Yes,35,Yes,Artist,4.0,Average,2.0,Cat_2,C
4455,461846,Female,No,72,Yes,Artist,1.0,Low,2.0,Cat_2,B
4462,466876,Female,Yes,43,Yes,Entertainment,0.0,Average,2.0,Cat_2,C
4513,459310,Male,No,38,Yes,Entertainment,1.0,Low,2.0,Cat_2,D
4578,467847,Male,Yes,41,Yes,Artist,8.0,High,2.0,Cat_2,A
4647,467033,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_2,D
4850,462320,Female,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_2,C
4864,465023,Male,Yes,43,Yes,Artist,9.0,Average,2.0,Cat_2,C
4958,461539,Male,Yes,42,No,Entertainment,6.0,Average,2.0,Cat_2,A
4981,460194,Female,No,23,No,Entertainment,0.0,Low,2.0,Cat_2,D
5052,465498,Male,Yes,41,Yes,Engineer,9.0,Average,2.0,Cat_2,A
5129,467534,Male,Yes,48,No,Entertainment,5.0,Average,2.0,Cat_2,C
5188,467096,Male,Yes,53,Yes,Entertainment,4.0,Low,2.0,Cat_2,A
5266,466363,Female,Yes,38,Yes,Engineer,5.0,Low,2.0,Cat_2,B
5275,461540,Male,No,38,Yes,Engineer,3.0,Low,2.0,Cat_2,B
5305,465648,Female,No,32,No,Entertainment,0.0,Low,2.0,Cat_2,A
5533,460029,Female,Yes,35,Yes,Healthcare,12.0,Average,2.0,Cat_2,D
5574,466470,Male,Yes,67,Yes,Homemaker,1.0,Average,2.0,Cat_2,B
5596,466303,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_2,B
5658,465273,Female,No,35,Yes,Healthcare,9.0,Low,2.0,Cat_2,D
5737,460256,Male,No,53,Yes,Artist,2.0,Low,2.0,Cat_2,B
5825,459627,Male,No,40,Yes,Artist,14.0,Low,2.0,Cat_2,A
5896,462277,Male,Yes,36,Yes,Entertainment,4.0,Average,2.0,Cat_2,B
6006,461910,Male,Yes,31,Yes,Artist,4.0,Average,2.0,Cat_2,B
6049,460168,Male,Yes,86,Yes,Executive,0.0,High,2.0,Cat_2,C
6070,463556,Male,Yes,29,Yes,Entertainment,0.0,Low,2.0,Cat_2,D
6161,459309,Female,Yes,41,Yes,Artist,9.0,High,2.0,Cat_2,B
6186,461436,Male,Yes,55,Yes,Artist,8.0,Average,2.0,Cat_2,C
6267,466287,Female,Yes,48,Yes,Doctor,1.0,Average,2.0,Cat_2,A
6307,462039,Male,No,21,No,Healthcare,1.0,Low,2.0,Cat_2,D
6580,462097,Male,Yes,42,Yes,Doctor,8.0,Average,2.0,Cat_2,B
6625,463979,Female,Yes,48,Yes,Homemaker,1.0,High,2.0,Cat_2,C
6728,462322,Female,No,49,Yes,Artist,1.0,Low,2.0,Cat_2,C
6772,463872,Male,Yes,78,No,Lawyer,1.0,High,2.0,Cat_2,A
6797,461732,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_2,C
6919,463988,Female,Yes,35,Yes,Entertainment,9.0,Average,2.0,Cat_2,A
6967,465744,Male,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_2,C
6994,460169,Female,Yes,89,Yes,Lawyer,1.0,High,2.0,Cat_2,C
7112,460155,Female,Yes,53,Yes,Artist,2.0,High,2.0,Cat_2,C
7169,460193,Male,No,42,Yes,Entertainment,3.0,Low,2.0,Cat_2,A
7302,459775,Male,No,36,Yes,Artist,3.0,Low,2.0,Cat_2,B
7466,462319,Male,Yes,47,Yes,Artist,1.0,Average,2.0,Cat_2,C
7678,460824,Male,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_2,B
7742,465797,Male,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_2,C
7766,462897,Male,No,33,Yes,Healthcare,3.0,Low,2.0,Cat_2,D
7768,466989,Female,Yes,40,Yes,Artist,9.0,Average,2.0,Cat_2,B
7867,460725,Male,Yes,41,Yes,Artist,0.0,High,2.0,Cat_2,B
7885,466190,Male,Yes,53,Yes,Executive,0.0,Low,2.0,Cat_2,C
7972,464441,Male,Yes,35,Yes,Artist,0.0,Low,2.0,Cat_2,A
7975,464623,Male,Yes,35,Yes,Entertainment,9.0,High,2.0,Cat_2,A
32,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
258,460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
598,467106,Male,Yes,45,Yes,Entertainment,4.0,Average,3.0,Cat_2,B
695,465448,Male,No,32,No,Healthcare,0.0,Low,3.0,Cat_2,A
737,465248,Female,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,D
976,459183,Female,No,26,Yes,Artist,1.0,Low,3.0,Cat_2,A
1129,460108,Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_2,C
1285,463894,Female,Yes,51,Yes,Artist,0.0,Average,3.0,Cat_2,C
1451,465303,Female,Yes,67,Yes,Artist,1.0,Average,3.0,Cat_2,C
1576,467684,Male,No,40,Yes,Healthcare,8.0,Low,3.0,Cat_2,D
1857,463978,Male,Yes,38,Yes,Artist,1.0,Average,3.0,Cat_2,C
1966,463974,Female,No,33,Yes,Homemaker,7.0,Low,3.0,Cat_2,C
2071,461755,Male,No,29,No,Artist,1.0,Low,3.0,Cat_2,A
2126,466222,Male,Yes,51,No,Executive,5.0,Low,3.0,Cat_2,C
2142,464148,Male,Yes,50,Yes,Executive,9.0,High,3.0,Cat_2,C
2161,461205,Male,No,27,Yes,Healthcare,9.0,Low,3.0,Cat_2,D
2192,461711,Female,No,35,Yes,Artist,8.0,Low,3.0,Cat_2,A
2195,460260,Male,No,20,No,Healthcare,0.0,Low,3.0,Cat_2,D
2241,462050,Male,No,19,No,Healthcare,4.0,Low,3.0,Cat_2,D
2287,466473,Female,No,22,No,Healthcare,0.0,Low,3.0,Cat_2,D
2356,461387,Female,No,22,No,Healthcare,5.0,Low,3.0,Cat_2,D
2377,463642,Female,No,27,Yes,Healthcare,0.0,Low,3.0,Cat_2,B
2594,462135,Female,No,36,Yes,Healthcare,6.0,Low,3.0,Cat_2,D
2656,463368,Female,Yes,42,Yes,Artist,3.0,High,3.0,Cat_2,C
2673,459961,Male,Yes,51,Yes,Artist,8.0,Low,3.0,Cat_2,A
2772,461586,Male,No,36,Yes,Artist,6.0,Low,3.0,Cat_2,B
2847,461395,Male,No,21,No,Doctor,4.0,Low,3.0,Cat_2,D
2861,466364,Female,Yes,52,Yes,Artist,1.0,Low,3.0,Cat_2,C
3056,464211,Male,Yes,50,Yes,Doctor,0.0,Average,3.0,Cat_2,B
3097,463571,Female,No,32,Yes,Marketing,0.0,Low,3.0,Cat_2,B
3151,463343,Male,Yes,35,Yes,Artist,2.0,Low,3.0,Cat_2,B
3239,461718,Female,Yes,48,No,Executive,9.0,Average,3.0,Cat_2,B
3404,463326,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_2,D
3498,460012,Female,Yes,50,Yes,Artist,1.0,High,3.0,Cat_2,C
3553,466671,Female,Yes,33,No,Healthcare,2.0,Low,3.0,Cat_2,C
3587,466305,Male,No,31,No,Healthcare,1.0,Low,3.0,Cat_2,B
3696,462133,Female,Yes,46,Yes,Doctor,9.0,High,3.0,Cat_2,A
3823,466366,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_2,D
3861,466365,Female,Yes,50,No,Artist,0.0,Average,3.0,Cat_2,C
3867,463880,Female,Yes,36,No,Engineer,0.0,Low,3.0,Cat_2,B
3934,462371,Female,No,27,No,Healthcare,5.0,Low,3.0,Cat_2,D
3979,462010,Female,No,31,Yes,Artist,14.0,Low,3.0,Cat_2,A
4111,466332,Male,No,23,No,Healthcare,0.0,Low,3.0,Cat_2,D
4260,464234,Male,Yes,68,Yes,Entertainment,0.0,Low,3.0,Cat_2,A
4320,466868,Male,No,26,Yes,Doctor,4.0,Low,3.0,Cat_2,A
4521,463896,Female,No,25,No,Homemaker,0.0,Low,3.0,Cat_2,C
4554,463875,Male,Yes,53,Yes,Entertainment,1.0,Low,3.0,Cat_2,A
4664,466253,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_2,D
4754,462087,Female,No,31,Yes,Healthcare,9.0,Low,3.0,Cat_2,A
4816,466191,Male,Yes,48,Yes,Executive,0.0,High,3.0,Cat_2,C
4888,464111,Male,Yes,57,Yes,Artist,0.0,Average,3.0,Cat_2,D
4895,460002,Female,Yes,58,Yes,Doctor,5.0,Average,3.0,Cat_2,D
5071,467582,Male,Yes,39,Yes,Executive,0.0,High,3.0,Cat_2,B
5139,464271,Female,Yes,36,Yes,Artist,0.0,Average,3.0,Cat_2,C
5307,465525,Female,Yes,38,Yes,Healthcare,3.0,Average,3.0,Cat_2,D
5348,461312,Male,No,18,No,Healthcare,3.0,Low,3.0,Cat_2,D
5500,467283,Male,Yes,48,Yes,Artist,1.0,Average,3.0,Cat_2,C
6021,466225,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_2,D
6509,465477,Male,No,31,No,Healthcare,1.0,Low,3.0,Cat_2,B
6583,463239,Female,No,30,No,Doctor,1.0,Low,3.0,Cat_2,D
6588,465339,Female,No,27,No,Marketing,0.0,Low,3.0,Cat_2,C
6698,467683,Male,Yes,26,Yes,Healthcare,9.0,High,3.0,Cat_2,D
6703,462738,Female,No,28,Yes,Healthcare,9.0,Low,3.0,Cat_2,D
6717,464287,Male,Yes,35,Yes,Artist,9.0,Average,3.0,Cat_2,C
6900,465995,Male,No,27,No,Entertainment,0.0,Low,3.0,Cat_2,D
6933,459814,Female,No,49,Yes,Artist,0.0,Low,3.0,Cat_2,B
7154,461325,Male,No,61,Yes,Entertainment,1.0,Low,3.0,Cat_2,C
7174,465834,Male,No,48,Yes,Entertainment,0.0,Low,3.0,Cat_2,A
7260,466301,Male,Yes,50,Yes,Artist,0.0,Average,3.0,Cat_2,C
